Student_ID,Student_Query,Priority
S0001,Missed exam due to medical emergency,High
S0002,Internship letter request,Medium
S0003,Elective subject change request,Medium
S0004,Missed exam due to medical emergency,High
S0005,Internship letter request,Medium
S0006,Hostel accommodation query,Medium
S0007,Exam result not published,High
S0008,Library timings inquiry,Low
S0009,Fee payment issue before deadline,High
S0010,Hall ticket not generated before exam,High
S0011,Academic calendar request,Low
S0012,Missed exam due to medical emergency,High
S0013,Fee payment issue before deadline,High
S0014,Elective subject change request,Medium
S0015,Bonafide certificate request,Medium
S0016,Website navigation help,Low
S0017,Fee payment issue before deadline,High
S0018,Scholarship not credited,High
S0019,Campus map request,Low
S0020,Academic calendar request,Low
S0021,Campus map request,Low
S0022,Bonafide certificate request,Medium
S0023,Elective subject change request,Medium
S0024,Missed exam due to medical emergency,High
S0025,Library timings inquiry,Low
S0026,Website navigation help,Low
S0027,Hall ticket not generated before exam,High
S0028,Internship letter request,Medium
S0029,Bonafide certificate request,Medium
S0030,Library timings inquiry,Low
S0031,Hostel accommodation query,Medium
S0032,Hostel accommodation query,Medium
S0033,Fee payment issue before deadline,High
S0034,Exam result not published,High
S0035,Campus map request,Low
S0036,Hall ticket not generated before exam,High
S0037,Hostel accommodation query,Medium
S0038,Hall ticket not generated before exam,High
S0039,Library access issue,Medium
S0040,Library access issue,Medium
S0041,Library timings inquiry,Low
S0042,Website navigation help,Low
S0043,Hostel accommodation query,Medium
S0044,Bonafide certificate request,Medium
S0045,Hostel accommodation query,Medium
S0046,Elective subject change request,Medium
S0047,Elective subject change request,Medium
S0048,Elective subject change request,Medium
S0049,Website navigation help,Low
S0050,Elective subject change request,Medium
S0051,Exam result not published,High
S0052,Elective subject change request,Medium
S0053,Campus map request,Low
S0054,Website navigation help,Low
S0055,Campus map request,Low
S0056,Exam result not published,High
S0057,Website navigation help,Low
S0058,Hostel accommodation query,Medium
S0059,Library access issue,Medium
S0060,Scholarship not credited,High
S0061,Elective subject change request,Medium
S0062,Hall ticket not generated before exam,High
S0063,Website navigation help,Low
S0064,Website navigation help,Low
S0065,Hostel accommodation query,Medium
S0066,Exam result not published,High
S0067,Internship letter request,Medium
S0068,Event information query,Low
S0069,Library timings inquiry,Low
S0070,Internship letter request,Medium
S0071,Missed exam due to medical emergency,High
S0072,Library access issue,Medium
S0073,Library access issue,Medium
S0074,Campus map request,Low
S0075,Bonafide certificate request,Medium
S0076,Hall ticket not generated before exam,High
S0077,Event information query,Low
S0078,Fee payment issue before deadline,High
S0079,Hall ticket not generated before exam,High
S0080,Library timings inquiry,Low
S0081,Campus map request,Low
S0082,Bonafide certificate request,Medium
S0083,Missed exam due to medical emergency,High
S0084,Fee payment issue before deadline,High
S0085,Hostel accommodation query,Medium
S0086,Bonafide certificate request,Medium
S0087,Bonafide certificate request,Medium
S0088,Event information query,Low
S0089,Scholarship not credited,High
S0090,Hostel accommodation query,Medium
S0091,Event information query,Low
S0092,Campus map request,Low
S0093,Missed exam due to medical emergency,High
S0094,Library timings inquiry,Low
S0095,Campus map request,Low
S0096,Elective subject change request,Medium
